university,ranking,tuition,percOfIntStud,acceptanceRate,safetyIndex,livingCost,rentCost,groceriesCost,recreationCost,healthcareCost,transportCost,link,Computer Science,Business,Economics,Psychology,Biology,Law,Medicine,Mathematics,Art,Physics
Universidad de La Habana,1500,0,5%,50%,55,300,150,100,30,50,15,https://www.uh.cu/,1,1,1,1,1,1,1,1,1,1
Charles University,200,4000,20%,40%,80,700,400,200,80,150,40,https://www.cuni.cz/,1,1,1,1,1,1,1,1,1,1
Ross University School of Medicine,5000,20000,90%,85%,75,1200,800,300,150,500,100,https://medical.rossu.edu/,0,0,0,0,0,0,1,0,0,0
Universidad San Francisco de Quito,1000,8000,15%,50%,70,500,300,200,80,150,30,https://www.usfq.edu.ec/,1,1,1,1,1,1,1,1,1,1
Cairo University,800,1000,5%,60%,50,200,100,80,20,30,10,https://cu.edu.eg/,1,1,1,1,1,1,1,1,1,1
Jose Simeon Canas Central American University,3000,3000,5%,70%,60,300,150,100,30,50,15,https://www.uca.edu.sv/,1,1,1,1,1,1,1,1,1,1
The University of the South Pacific,4000,4000,10%,80%,75,500,300,150,50,100,20,https://www.usp.ac.fj/,1,1,1,1,1,1,1,1,1,1
Aalto University,100,15000,30%,20%,90,1100,700,250,100,200,60,https://www.aalto.fi/,1,1,1,1,1,1,1,1,1,1
Paris Sciences et Lettres University,50,0,20%,10%,80,1200,800,300,150,200,70,https://www.psl.eu/,1,1,1,1,1,1,1,1,1,1
Ivane Javakhishvili Tbilisi State University,1500,2000,10%,50%,70,400,200,150,50,100,20,https://www.tsu.ge/,1,1,1,1,1,1,1,1,1,1
University of Ghana,1500,1000,5%,50%,60,300,150,100,30,50,15,https://www.ug.edu.gh/,1,1,1,1,1,1,1,1,1,1
National Technical University of Athens,500,0,10%,30%,75,700,400,200,80,150,40,https://www.ntua.gr/,1,1,1,1,1,1,1,1,1,1
University of San Carlos of Guatemala,3000,500,5%,70%,55,300,150,100,30,50,15,https://www.usac.edu.gt/,1,1,1,1,1,1,1,1,1,1
The University of Hong Kong,25,15000,40%,20%,85,1200,800,300,150,200,70,https://www.hku.hk/,1,1,1,1,1,1,1,1,1,1
Eötvös Loránd University,500,3000,15%,50%,80,600,300,200,80,150,30,https://www.elte.hu/,1,1,1,1,1,1,1,1,1,1
Indian Institute of Technology Bombay (IITB),200,2000,5%,10%,65,400,200,150,50,100,20,https://www.iitb.ac.in/,1,1,1,1,1,0,1,1,1,1
Universitas Indonesia,800,1000,5%,50%,60,300,150,100,30,50,15,https://www.ui.ac.id/,1,1,1,1,1,1,1,1,1,1
University of Baghdad,4000,500,2%,80%,45,200,100,80,20,30,10,https://www.uobaghdad.edu.iq/,1,1,1,1,1,1,1,1,1,1
Sharif University of Technology,500,2000,5%,20%,55,400,200,150,50,100,20,https://www.sharif.edu/,1,1,1,1,1,0,1,1,1,1
Trinity College Dublin,100,15000,30%,20%,80,1200,800,300,150,200,70,https://www.tcd.ie/,1,1,1,1,1,1,1,1,1,1
Tel Aviv University,200,10000,15%,25%,75,1000,600,250,100,150,50,https://www.tau.ac.il/,1,1,1,1,1,1,1,1,1,1
Polytechnic University of Milan,150,4000,20%,30%,85,900,600,250,100,200,60,https://www.polimi.it/,1,1,1,1,1,1,1,1,1,1
The University of Tokyo,23,5000,15%,1%,85,900,500,200,80,200,50,https://www.u-tokyo.ac.jp/,1,1,1,1,1,1,1,1,1,1
University of Jordan,1500,2000,10%,50%,60,400,200,150,50,100,20,https://www.ju.edu.jo/,1,1,1,1,1,1,1,1,1,1
Al-Farabi Kazakh National University,1000,3000,15%,60%,70,500,250,200,80,150,30,https://www.kaznu.kz/,1,1,1,1,1,1,1,1,1,1
University of Nairobi,2000,1000,5%,70%,55,300,150,100,30,50,15,https://www.uonbi.ac.ke/,1,1,1,1,1,1,1,1,1,1
University of Prishtina,3000,500,5%,80%,65,250,100,80,20,30,10,https://www.uni-pr.edu/,1,1,1,1,1,1,1,1,1,1
American University of the Middle East,4000,6000,20%,50%,75,800,500,200,80,150,30,https://www.aum.edu.kw/,1,1,1,1,1,1,1,1,1,1
Kyrgyz Russian Slavic University,5000,1000,5%,60%,60,300,150,100,30,50,15,https://www.krsu.edu.kg/,1,1,1,1,1,1,1,1,1,1
Riga Technical University,800,3000,10%,40%,80,700,400,200,80,150,40,https://www.rtu.lv/,1,1,1,1,1,1,1,1,1,1
American University of Beirut (AUB),300,10000,30%,20%,75,1000,600,250,100,150,50,https://www.aub.edu.lb/,1,1,1,1,1,1,1,1,1,1
University of Tripoli,4000,500,2%,80%,45,200,100,80,20,30,10,https://www.uot.edu.ly/,1,1,1,1,1,1,1,1,1,1
Vilnius University,500,4000,15%,50%,85,700,400,200,80,150,40,https://www.vu.lt/,1,1,1,1,1,1,1,1,1,1
University of Luxembourg,200,800,50%,30%,90,1200,800,300,150,200,70,https://www.uni.lu/,1,1,1,1,1,1,1,1,1,1
Universiti Malaya (UM),70,3000,20%,30%,65,500,300,150,50,100,20,https://www.um.edu.my/,1,1,1,1,1,1,1,1,1,1
University of Malta,1000,8000,10%,50%,80,800,500,200,80,150,40,https://www.um.edu.mt/,1,1,1,1,1,1,1,1,1,1
University of Mauritius,2000,3000,5%,60%,70,500,250,150,50,100,20,https://www.uom.ac.mu/,1,1,1,1,1,1,1,1,1,1
Tecnológico de Monterrey,150,10000,15%,30%,65,700,400,200,80,150,30,https://www.tec.mx/,1,1,1,1,1,1,1,1,1,1
University of the Academy of Sciences of Moldova,3000,500,5%,70%,60,300,150,100,30,50,15,https://www.asm.md/,1,1,1,1,1,1,1,1,1,1
University of Montenegro,4000,1000,2%,80%,65,350,150,100,30,50,15,https://www.ucg.ac.me/,1,1,1,1,1,1,1,1,1,1
Université Mohammed V de Rabat,1500,500,5%,50%,60,300,150,100,30,50,15,https://www.um5.ac.ma/,1,1,1,1,1,1,1,1,1,1
Tribhuvan University,5000,500,2%,80%,55,200,100,80,20,30,10,https://www.tribhuvan-university.edu.np/,1,1,1,1,1,1,1,1,1,1
Delft University of Technology,50,15000,30%,20%,90,1100,700,250,100,200,60,https://www.tudelft.nl/,1,1,1,1,1,1,1,1,1,1
The University of Auckland,100,20000,25%,40%,85,1200,800,300,150,500,80,https://www.auckland.ac.nz/,1,1,1,1,1,1,1,1,1,1
University of Ibadan,1500,500,5%,50%,55,300,150,100,30,50,15,https://www.ui.edu.ng/,1,1,1,1,1,1,1,1,1,1
Ss. Cyril and Methodius University of Skopje,2000,1000,5%,60%,65,300,150,100,30,50,15,https://www.ukim.edu.mk/,1,1,1,1,1,1,1,1,1,1
University of Oslo,100,0,20%,30%,90,1100,700,250,100,200,60,https://www.uio.no/,1,1,1,1,1,1,1,1,1,1
Sultan Qaboos University,1000,0,10%,50%,85,700,400,200,80,150,30,https://www.squ.edu.om/,1,1,1,1,1,1,1,1,1,1
Quaid-i-Azam University,2000,500,5%,60%,55,300,150,100,30,50,15,https://www.qau.edu.pk/,1,1,1,1,1,1,1,1,1,1
Al-Quds University,3000,1000,5%,70%,60,350,150,100,30,50,15,https://www.alquds.edu/,1,1,1,1,1,1,1,1,1,1
Universidad Tecnológica de Panamá (UTP),1500,2000,10%,50%,65,500,300,150,50,100,20,https://www.utp.ac.pa/,1,1,1,1,1,1,1,1,1,1
Universidad Nacional de la Asunción,4000,500,5%,80%,60,300,150,100,30,50,15,https://www.una.py/,1,1,1,1,1,1,1,1,1,1
Pontificia Universidad Católica del Perú,500,3000,15%,40%,70,600,300,200,80,150,30,https://www.pucp.edu.pe/,1,1,1,1,1,1,1,1,1,1
University of the Philippines,800,1000,5%,50%,65,400,200,150,50,100,20,https://www.up.edu.ph/,1,1,1,1,1,1,1,1,1,1
University of Warsaw,300,2000,10%,30%,80,700,400,200,80,150,40,https://www.uw.edu.pl/,1,1,1,1,1,1,1,1,1,1
University of Porto,200,1000,15%,40%,85,800,500,200,80,150,40,https://www.up.pt/,1,1,1,1,1,1,1,1,1,1
Universidad de Puerto Rico,1500,2000,5%,50%,70,600,300,200,80,150,30,https://www.upr.edu/,1,1,1,1,1,1,1,1,1,1
Qatar University,800,5000,20%,30%,85,1000,600,250,100,150,50,https://www.qu.edu.qa/,1,1,1,1,1,1,1,1,1,1
Babes-Bolyai University,1000,2000,10%,40%,80,500,250,150,60,100,25,https://www.ubbcluj.ro/,1,1,1,1,1,1,1,1,1,1
Lomonosov Moscow State University,100,5000,15%,20%,75,700,400,200,80,150,40,https://www.msu.ru/,1,1,1,1,1,1,1,1,1,1
King Fahd University of Petroleum and Minerals,300,0,10%,30%,85,900,500,200,80,150,30,https://www.kfupm.edu.sa/,1,1,1,1,1,1,1,1,1,1
University of Belgrade,500,1000,5%,50%,70,400,200,150,50,100,20,https://www.bg.ac.rs/,1,1,1,1,1,1,1,1,1,1
National University of Singapore,11,10000,30%,10%,90,1200,800,300,150,200,70,https://www.nus.edu.sg/,1,1,1,1,1,1,1,1,1,1
Comenius University Bratislava,800,2000,10%,40%,80,600,300,200,80,150,30,https://uniba.sk/,1,1,1,1,1,1,1,1,1,1
University of Ljubljana,500,2000,10%,50%,85,700,400,200,80,150,40,https://www.uni-lj.si/,1,1,1,1,1,1,1,1,1,1
University of Cape Town,200,3000,20%,30%,65,600,300,200,80,150,30,https://www.uct.ac.za/,1,1,1,1,1,1,1,1,1,1
University of Colombo,1500,1000,5%,50%,60,300,150,100,30,50,15,https://www.cmb.ac.lk/,1,1,1,1,1,1,1,1,1,1
Damascus University,4000,500,2%,80%,40,200,100,80,20,30,10,https://www.damascusuniversity.edu.sy/,1,1,1,1,1,1,1,1,1,1
National Taiwan University,100,3000,15%,30%,85,800,500,200,80,150,40,https://www.ntu.edu.tw/,1,1,1,1,1,1,1,1,1,1
University of Dar es Salaam,2000,500,5%,70%,60,300,150,100,30,50,15,https://www.udsm.ac.tz/,1,1,1,1,1,1,1,1,1,1
Chulalongkorn University,300,2000,10%,40%,75,600,300,200,80,150,30,https://www.chula.ac.th/,1,1,1,1,1,1,1,1,1,1
University of Trinidad and Tobago,4000,3000,5%,80%,70,500,300,150,50,100,20,https://utt.edu.tt/,1,1,1,1,1,1,1,1,1,1
Université de Tunis El Manar,1500,500,5%,50%,60,300,150,100,30,50,15,https://www.utm.rnu.tn/,1,1,1,1,1,1,1,1,1,1
Istanbul University,1000,1000,10%,50%,65,500,300,200,80,150,30,https://www.istanbul.edu.tr/,1,1,1,1,1,1,1,1,1,1
Makerere University,2000,500,5%,60%,55,300,150,100,30,50,15,https://www.mak.ac.ug/,1,1,1,1,1,1,1,1,1,1
Taras Shevchenko National University of Kyiv,800,2000,10%,40%,60,400,200,150,50,100,20,https://www.univ.kiev.ua/,1,1,1,1,1,1,1,1,1,1
Universidad de la República (Udelar),1500,0,5%,70%,75,600,300,200,80,150,30,https://www.udelar.edu.uy/,1,1,1,1,1,1,1,1,1,1
Tashkent Institute of Irrigation and Agricultural Mechanization Engineers (TIIAME)-National Research University,3000,1000,5%,80%,65,300,150,100,30,50,15,https://www.tiiame.uz/,1,1,0,0,1,0,0,1,0,1
